5
Hawaii County
-156.5126500000 21.2031846091
-156.5000000000 21.1683112676
-156.4957280000 21.1565876505
-156.5494380000 21.1210029445
-156.5922700000 21.1211290532
-156.7216950000 21.0498857454
-156.7533420000 21.0022551568
-156.7500000000 20.9519267111
-156.7500000000 20.9031805194
-156.5460660000 20.9101308700
-156.4914700000 20.9493879557
-156.4845730000 21.0360439478
-156.4367370000 20.9985323667
-156.3750000000 20.9854819131
-156.3035580000 20.9904174910
-156.2100220000 21.0267757920
-156.1438450000 21.0263987535
-156.0198970000 21.0696837607
-155.9669490000 21.1173137742
-155.9328000000 21.1790414670
-155.9269560000 21.2372751160
-155.9509580000 21.3387850910
-155.9589840000 21.3527737367
-156.0000000000 21.3527737367
-156.0000000000 21.3282914621
-156.0764770000 21.3589288694
-156.1952970000 21.4560883555
-156.2627720000 21.4890135294
-156.3467560000 21.4866109331
15
29
-156.8767700000 21.7362793426
-156.9208070000 21.6611187675
-156.8960270000 21.6456674011
-156.9039920000 21.6271856384
-156.9196780000 21.6259956229
-156.9425960000 21.6580755550
-156.9561160000 21.6545412983
-156.9629970000 21.6795562212
-156.9645230000 21.6573849962
-157.0145570000 21.6854150896
-157.0150600000 21.7666336289
-157.0311280000 21.7487611145
-157.2202150000 21.7852003519
-157.2922970000 21.7713990442
-157.3144680000 21.7336294800
-157.3154450000 21.7007491260
-157.3634800000 21.6205602601
-157.3584290000 21.5761912755
-157.3013150000 21.5376645041
-157.2786250000 21.5359072744
-157.0670780000 21.5444664515
-156.8750000000 21.4798585776
-156.7465360000 21.5365308744
-156.6577150000 21.6097351148
-156.6539000000 21.6537499616
-156.6673740000 21.6936369603
-156.6967770000 21.7163152753
-156.7838900000 21.7347216042
-156.8767700000 21.7362793426
15
15
-156.8767700000 21.7362793426
-156.9116360000 21.7370281783
-156.9369960000 21.7679802922
-156.9788060000 21.7810386922
-157.0150600000 21.7666336289
-157.0145570000 21.6854150896
-156.9645230000 21.6573849962
-156.9629970000 21.6795562212
-156.9561160000 21.6545412983
-156.9425960000 21.6580755550
-156.9196780000 21.6259956229
-156.9039920000 21.6271856384
-156.8960270000 21.6456674011
-156.9208070000 21.6611187675
-156.8767700000 21.7362793426
