20
Jefferson County
-95.3086170000 31.9428240762
-95.2378080000 31.9120836247
-95.2033230000 31.8787626805
-95.2263950000 31.8428449777
-95.1658940000 31.8719536642
-94.8430790000 32.0377935851
-94.8494110000 32.0442586302
-94.8659130000 32.0470961255
-94.8670880000 32.0649896559
-94.8321080000 32.1009408189
-95.0354920000 32.1511869381
-95.0068660000 32.1772426820
-95.0239490000 32.2266929251
-95.0096130000 32.2324620454
-95.0414580000 32.2426770091
-95.0333790000 32.2529614991
-95.0555950000 32.2612004666
-95.1157460000 32.2400938271
-95.1098630000 32.2773429679
-95.1353840000 32.2769057107
-95.1470720000 32.3071293141
-95.1319430000 32.3808557595
-95.2001800000 32.4290613465
-95.2333220000 32.4536850065
-95.2424470000 32.4795163902
-95.2312850000 32.5024661940
-95.2523880000 32.5247692043
-95.3136670000 32.5135262424
-95.3274840000 32.4697923719
48
29
-94.9580000000 33.0859582232
-95.4347840000 32.7013405239
-95.4343410000 32.5615058238
-95.4114070000 32.5528378514
-95.4154430000 32.5270034803
-95.3812560000 32.5018614247
-95.3987660000 32.4962671730
-95.3983610000 32.4699542960
-95.3558730000 32.4653890576
-95.3448260000 32.4885118901
-95.3274840000 32.4697923719
-95.3136670000 32.5135262424
-95.2523880000 32.5247692043
-95.2312850000 32.5024661940
-95.2424470000 32.4795163902
-95.2333220000 32.4536850065
-95.2001800000 32.4290613465
-94.9388280000 32.6829820353
-94.8428120000 32.8048529321
-94.8561550000 32.8089740796
-94.8502270000 32.8417804712
-94.8662570000 32.8772027047
-94.8603820000 32.9072072593
-94.8979190000 32.9384611652
-94.8768620000 32.9641306066
-94.8942790000 32.9742725004
-94.9021380000 33.0209053853
-94.9576800000 33.0344245461
-94.9580000000 33.0859582232
48
41
-104.1023560000 32.7562963955
-103.5850830000 32.3614292072
-103.0111390000 33.0675662129
-103.0582120000 33.0833752850
-103.0687030000 33.0602885015
-103.1944810000 33.0682888571
-103.2450410000 33.0888575118
-103.2627940000 33.1336591869
-103.2833710000 33.1246205193
-103.3305820000 33.1158708408
-103.3818740000 33.1215199107
-103.3994980000 33.1411281038
-103.4626080000 33.1364331628
-103.4894260000 33.1678905207
-103.4817890000 33.1912191848
-103.5042270000 33.2351043016
-103.4959260000 33.2773113349
-103.5120320000 33.2986609717
-103.5096210000 33.3660595970
-103.5314330000 33.3853909358
-103.5747910000 33.3741468895
-103.6107250000 33.3965797522
-103.6351470000 33.4336737418
-103.6214520000 33.4394355977
-103.6251370000 33.4583920539
-103.6683960000 33.4710095793
-103.7001040000 33.5099116439
-103.7454150000 33.4989357797
-103.7830660000 33.5406132516
-103.7967450000 33.5356846978
-103.8296740000 33.6741491554
-103.8812710000 33.6471422449
-103.8807980000 33.6763197506
-103.9109270000 33.6899897277
-103.9206160000 33.7352651372
-103.9465180000 33.7497545785
-103.9492420000 33.7889971747
-103.9744570000 33.7818774962
-103.9801790000 33.8065431291
-104.0245210000 33.8064075235
-104.1023560000 32.7562963955
48
27
-103.0111390000 33.0675662129
-102.9137500000 33.0295187265
-102.8249050000 32.9455822574
-102.7673650000 32.9767861773
-102.7672420000 33.3964787247
-102.7989430000 33.3965597817
-103.3275380000 33.3961345270
-103.6107250000 33.3965797522
-103.5747910000 33.3741468895
-103.5314330000 33.3853909358
-103.5096210000 33.3660595970
-103.5120320000 33.2986609717
-103.4959260000 33.2773113349
-103.5042270000 33.2351043016
-103.4817890000 33.1912191848
-103.4894260000 33.1678905207
-103.4626080000 33.1364331628
-103.3994980000 33.1411281038
-103.3818740000 33.1215199107
-103.3305820000 33.1158708408
-103.2833710000 33.1246205193
-103.2627940000 33.1336591869
-103.2450410000 33.0888575118
