20
Wagoner County
-99.5670170000 36.6971611162
-99.4624630000 36.6642328788
-99.4349210000 36.6393886381
-99.4241490000 36.6577934392
-99.4012220000 36.6437793158
-99.3872910000 36.6888941149
-99.3948290000 36.7265071425
-99.3689350000 36.7458531319
-99.3183590000 36.6850420680
-99.2609710000 36.6786158510
-99.2744140000 36.6560097600
-99.2428890000 36.6408582340
-99.2298580000 36.6029402614
-99.2108230000 36.5984399336
-99.1920550000 36.6149017358
-99.2202530000 36.6447776641
-99.2087170000 36.6637663268
-99.2282560000 36.6594583962
-99.2378390000 36.7039825060
-99.2244570000 36.7000753342
-99.2148900000 36.7745229892
-99.2220540000 36.7854673707
-99.1961060000 36.8501363031
-99.1714710000 36.8529153096
-99.1848450000 36.8691028117
-99.1639330000 36.9025107893
-99.0830990000 36.9060467941
-99.0918660000 36.9321704236
-99.0795590000 36.9418353173
-99.1031490000 36.9638186840
-99.0946810000 37.0031391697
-99.0370940000 37.0236655877
-99.0525130000 37.0411102523
-99.1019060000 37.0336360298
-99.1584010000 37.0511663595
-99.1729580000 37.1049307321
-99.1509170000 37.1137394651
-99.1655120000 37.1456445696
-99.1495670000 37.1543959871
-99.1536940000 37.1936789991
-99.1445160000 37.2210764715
-99.1906660000 37.2318013789
-99.2123570000 37.1932331378
-99.2464600000 37.1878561577
-99.2464290000 37.1778521357
-99.3988570000 37.1767608039
-99.4056630000 37.1321420695
-99.4403760000 37.1147789879
-99.4420550000 37.0738184820
-99.4231340000 37.0697801689
-99.6669010000 37.0691912872
40
44
-96.2682880000 38.8335635615
-96.0013580000 38.8320933342
-96.0011750000 39.1582753935
-96.0008090000 39.8757460722
-96.7498400000 39.8759088475
-96.7525100000 39.6221492760
-96.7524640000 39.6046627637
-96.8157960000 39.5865702595
-96.8246690000 39.5605211625
-96.8876110000 39.5672817636
-96.9311600000 39.4853604928
-97.0314640000 39.5045464408
-97.0584180000 39.4876712334
-97.0438230000 39.3784638521
-97.0574110000 39.3697162331
-97.0016780000 39.3560950490
-96.9153210000 39.3775894280
-96.8882140000 39.3445091586
-96.9026410000 39.3170966032
-97.0003130000 39.2860779694
-97.0097890000 39.2617761124
-96.9810260000 39.2104862386
-96.9338230000 39.1987761194
-96.8721080000 39.2196795172
-96.7952270000 39.3207477566
-96.7517010000 39.3292294738
-96.7059860000 39.2339070142
-96.7171250000 39.1851790959
-96.6969600000 39.1639749464
-96.6334530000 39.1593752592
-96.5870360000 39.0964892846
-96.5397870000 39.1295180435
-96.5237500000 39.1157841909
